PWM,AVG_RPM
0,0.0
2,0.0
4,0.0
6,0.0
8,1.61
10,2.5
12,3.45
14,5.54
16,9.09
18,11.21
20,13.09
22,14.88
24,16.55
26,18.1
28,19.83
30,21.66
32,23.38
34,24.41
36,26.52
38,28.22
40,30.31
42,31.39
44,33.0
46,34.81
48,36.48
50,38.12
52,39.81
54,41.56
56,43.23
58,44.79
60,46.38
62,48.08
64,49.69
66,51.08
68,52.83
70,54.47
72,56.05
74,57.61
76,59.28
78,60.97
80,62.59
82,64.34
84,66.56
86,66.73
88,68.15
90,70.81
92,72.51
94,74.18
96,75.79
98,77.38
100,79.1
102,80.79
104,82.97
106,83.88
108,85.63
110,87.41
112,89.11
114,90.89
116,92.65
118,94.22
120,95.81
122,97.23
124,99.03
126,100.73
128,102.59
130,104.09
132,105.9
134,107.66
136,109.35
138,110.71
140,112.32
142,114.0
144,115.69
146,117.53
148,119.44
150,121.25
152,123.15
154,124.75
156,126.53
158,128.23
160,129.87
162,131.34
164,133.41
166,133.43
168,135.07
170,137.74
172,139.6
174,141.32
176,143.11
178,144.97
180,146.75
182,148.41
184,150.14
186,151.62
188,153.28
190,155.06
192,156.73
194,158.31
196,160.01
198,161.68
200,163.49
202,164.79
204,166.18
206,167.85
208,169.85
210,171.63
212,173.36
214,175.08
216,176.91
218,178.36
220,180.11
222,181.81
224,183.56
226,184.81
228,187.23
230,188.12
232,189.73
234,191.34
236,192.93
238,194.56
240,196.49
242,198.1
244,199.47
246,200.72
248,202.55
250,203.42
252,204.86
254,206.44
